"id","Edad","GENERO","NUMERO_HIJOS","PROFESION","SERVICIO","TIEMPO_PROPIETARIO","KILOMETRAJE_INSTALACION","Edad Licencia","RELACION_ASEGURADO","CILINDRAJE","CIUDAD","Min(Recorrido (Km))","Min(Frenadas (Uni))","Min(Arrancadas (Uni))","Min(Aceleraciones (Uni))","Min(Exceso Velocidad (Min))","Min(Maxima Velocidad (Km/h))","Min(Tiempo Uso (Min))","Min(Uso Zona (Min))","Min(Fuera Zona (Min))","Min(Colision)","Max(Recorrido (Km))","Max(Frenadas (Uni))","Max(Arrancadas (Uni))","Max(Aceleraciones (Uni))","Max(Exceso Velocidad (Min))","Max(Maxima Velocidad (Km/h))","Max(Tiempo Uso (Min))","Max(Uso Zona (Min))","Max(Fuera Zona (Min))","Max(Colision)","Mean(Recorrido (Km))","Mean(Frenadas (Uni))","Mean(Arrancadas (Uni))","Mean(Aceleraciones (Uni))","Mean(Exceso Velocidad (Min))","Mean(Maxima Velocidad (Km/h))","Mean(Tiempo Uso (Min))","Mean(Uso Zona (Min))","Mean(Fuera Zona (Min))","Mean(Colision)","CLASE","MODELO","SINIESTROS_2016","SINIESTROS_2017","SINIESTROS_2018"
"83226973",47.09,1,2,10,0,3,"9,632",22.12,1,2500,1,1,0,0,0,0,0,3,0,0,0,74,7,1,8,30,109.15,60,60,59,0,3.32,0.04,0,1.69,0.09,0.84,14.57,13.97,0.6,0,0,2008,0,1,0
"51143431",56.66,0,3,0,0,1,"9,78",38.24,5,2500,1,1,0,0,0,0,0,5,0,5,0,46,1,1,11,11,107.3,54,0,54,0,11.76,0.08,0.12,1.28,0.84,16.35,26.2,0,26.2,0,0,2007,0,0,0
"74362809",51.21,0,0,10,0,2,"9,8",8.26,1,2500,1,0,0,0,0,0,0,0,0,0,0,25,1,3,7,0,0,50,50,46,2,3.73,0.02,0.03,0.94,0,0,16.18,14.46,1.72,0.01,0,2006,0,0,0
"72264845",47.89,0,3,4,0,1,"9,971",17.42,1,1800,1,1,0,0,0,0,0,9,0,9,0,23,0,0,2,0,0,48,0,48,0,12.83,0,0,0.67,0,0,29.83,0,29.83,0,1,2008,0,0,0
"6671539",58.58,0,3,3,0,1,"10,5",11.81,1,3000,1,1,0,0,0,0,0,3,0,0,0,62,12,0,0,11,122.1,60,60,60,0,9.57,1.52,0,0,0.08,2.54,25.22,21.46,3.76,0,2,2000,0,0,0
"43602351",43.67,0,2,10,0,1,"10,525",2.87,1,1400,1,1,0,0,0,0,0,4,2,0,0,19,12,21,5,1,101.75,42,42,10,0,5.54,1.15,5.04,0.8,0.02,2.11,19.22,18.5,0.72,0,0,2006,0,0,0
"59691187",58.93,0,1,12,0,14,"10,653",25.47,1,1800,1,0,0,0,0,0,0,0,0,0,0,24,25,33,6,0,0,60,60,31,1,3.13,2.94,4.9,0.57,0,0,18.3,18.21,0.08,0,0,1994,0,0,1
"70646925",71.85,1,4,4,0,1,"10,841",39.24,1,1800,1,1,0,0,0,0,0,3,0,0,0,73,88,14,20,24,129.5,60,47,60,0,7.87,1.88,0.8,0.73,0.19,5.26,22.65,7.06,15.59,0,2,2008,0,0,0
"12755998",70.1,1,4,18,0,19,"10,874",13.24,1,1600,1,1,0,0,0,0,0,1,0,0,0,64,10,1,9,16,122.1,59,47,59,0,6.31,0.09,0.01,0.14,0.17,2.89,18.45,13.16,5.29,0,0,2008,0,0,0
"26705860",29.81,1,0,11,0,1,"10,957",1.21,1,1800,1,1,0,0,0,0,0,3,0,0,0,66,13,1,17,13,129.5,60,57,60,1,8.15,0.5,0.01,0.29,0.37,15.36,20.03,14.44,5.59,0.01,0,2009,0,0,0
"12123325",44.43,1,0,4,0,1,"11,561",2.99,1,1400,1,0,0,0,0,0,0,0,0,0,0,18,5,1,20,2,123.95,54,54,49,2,4.01,0.39,0,1.01,0.11,10.37,16.79,10.12,6.67,0.01,0,2008,0,0,0
"92483875",48.27,1,2,4,0,1,"11,582",2.74,1,1800,1,0,0,0,0,0,0,0,0,0,0,72,3,1,13,3,105.45,60,60,60,1,4.57,0.06,0,0.89,0.01,1.27,16.44,15.07,1.37,0,0,2008,1,0,1
"43500601",41.92,1,2,17,0,1,"11,92",9.02,1,2500,1,12,2,1,0,1,94.35,31,24,7,0,12,2,1,0,1,94.35,31,24,7,0,12,2,1,0,1,94.35,31,24,7,0,0,2008,0,1,0
"20708606",49.9,0,1,20,0,1,"11,928",2.76,1,2500,1,0,0,0,0,0,0,0,0,0,0,51,32,3,29,51,118.4,60,60,60,2,5.07,0.24,0,1.74,0.53,2.15,18.7,17.07,1.63,0,0,2008,0,0,0
"19716844",43.34,1,3,5,0,1,"11,97",4.19,1,1000,3,0,0,0,0,0,0,0,0,0,0,60,22,8,18,21,125.8,60,58,60,1,10.75,0.87,0.03,2.62,0.45,22.91,27.13,13.87,13.26,0.01,0,2008,1,1,0
"67271209",37.53,1,1,3,0,1,"12,009",2.74,2,2500,1,0,0,0,0,0,0,0,0,0,0,72,6,21,16,32,122.1,60,53,60,1,5.69,0.33,1.19,0.82,0.33,3.86,17.86,14.72,3.13,0.01,0,2009,0,0,0
"28122108",50.17,1,2,10,0,1,"12,027",27.98,1,1800,1,0,0,0,0,0,0,0,0,0,0,69,15,4,12,59,116.55,60,0,60,1,7.25,0.08,0.01,1.3,1.46,4.42,23.83,0,23.83,0,0,2008,0,0,1
"56186171",48.75,1,2,21,0,1,"12,045",1.01,1,1800,1,1,0,0,0,0,0,5,0,0,0,44,17,1,5,4,112.85,60,60,49,1,8.04,1.88,0.01,0.8,0.11,4.15,24.24,19.99,4.25,0.01,0,2000,0,0,0
"89479063",28.77,0,0,3,0,1,"12,154",2.84,1,1400,1,1,0,0,0,0,0,2,0,0,0,30,4,7,6,3,123.95,54,54,32,0,4.03,0.21,0.75,0.3,0.07,5.57,13.28,12.58,0.7,0,0,2007,0,0,0
"98714126",47.85,0,2,11,0,3,"12,345",1.95,1,1300,5,0,0,0,0,0,0,0,0,0,0,45,7,1,16,6,120.25,60,59,60,2,9.82,0.2,0,2.02,0.11,7.73,25.09,17.56,7.53,0.01,0,2001,0,0,0
"61077231",44.24,1,2,5,0,1,"12,455",20.14,1,2500,2,1,0,0,0,0,0,4,0,0,0,69,5,3,11,33,114.7,58,58,56,1,8.03,0.57,0.18,1.05,0.7,6.55,23.35,17.34,6.01,0,0,2008,0,0,0
"61871438",45.22,0,2,21,0,4,"12,456",26.12,1,2500,1,1,0,0,0,0,0,4,0,0,0,65,4,9,5,15,125.8,60,54,58,0,6.56,0.53,1.6,0.28,0.17,1.65,19.7,17.33,2.37,0,0,2006,0,0,0
